Title,URL,Duration,Date,Views,Likes,Dislikes,Show,Description,Day Of The Week,Days Since Published,Views Per Day,Likes Per Day,Dislikes Per Day,Likes Minus Dislikes,Geoff,Jack,Gavin,Ryan,Ray,Michael,Lindsey,Caleb,Kdin,Matt,Jeremy,Barbara,Brandon,Burnie,Kerry,Dan,Lindsay
Let's Play - Cloudberry Kingdom Part 10,https://www.youtube.com/watch?v=ojGE9DNG0ZY,36.0,2015-07-16,265107,6838,73,Let's Play,Achievement Hunter is back in Cloudberry Kingdom. How many levels will they manage to complete this time? Not a lot is the answer. || FREE EDGAR: http://bit....,Thursday,0,,,,6765,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Alone In The Dark Illumination,https://www.youtube.com/watch?v=-Zg8mQPulcc,34.0,2015-07-15,324826,6727,118,Let's Play,You crazy mad bro? Ryan and Michael make their way through the horrible apocalypse that is Alone In The Dark. || FREE EDGAR: http://bit.ly/LetsPlayChannel ||...,Wednesday,1,324826.0,6727.0,118.0,6609,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Let's Play - TowerFall Ascension Part 3,https://www.youtube.com/watch?v=SpRnlxlWrQI,28.0,2015-07-14,343755,6036,106,Let's Play,Geoff VS Jack VS Ryan VS Gavin. Who is the best at Towerfall? Bramble arrows are running rampant and only the most skilled players can catch them and use the...,Tuesday,2,171878.0,3018.0,53.0,5930,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - GTA V - Chopper vs. Chopper X,https://www.youtube.com/watch?v=iS4t8bYrbxs,39.0,2015-07-13,589769,12477,458,Let's Play,AH tries out a new version of Chopper Vs Chopper! But can they overcome their short attention spans and inability to read long enough to properly play it? ||...,Monday,3,196590.0,4159.0,153.0,12019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Call of Duty: Advanced Warfare - The Rooster Teeth Podcast Crew,https://www.youtube.com/watch?v=g4Fk8OlFJH4,22.0,2015-07-12,302877,5209,307,Let's Play,"Barbara, Brandon, Burnie, and Gus try to survive the horror of Exo Zombies. Do they live? Of course not. Is it funny? Hopefully. || FREE EDGAR: http://bit.ly...",Sunday,4,75719.0,1302.0,77.0,4902,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
WHALE CANNON in GTA 5! - Mod Gameplay!,https://www.youtube.com/watch?v=4gORu0KmIMQ,8.7,2015-07-11,588538,12828,788,Unknown,"Gentlemen! On 18 June in this year of our lord 1815, at Waterloo in Belgium we shall engage the dastardly Napoleon in what, we all hope, may be the end to th...",Saturday,5,117708.0,2566.0,158.0,12040,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play Minecraft - Episode 163 - Ender DrAgain,https://www.youtube.com/watch?v=qQXO3rrPhJ4,29.0,2015-07-10,586517,12255,450,Let's Play,"With Eyes of Ender in hand, the Achievement Hunter crew dive into The End to finally have their rematch with the Againder-Dragon! || FREE EDGAR: http://bit.l...",Friday,6,97753.0,2042.0,75.0,11805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Quiplash,https://www.youtube.com/watch?v=qmgqZr_eazc,26.0,2015-07-09,678951,16893,398,Let's Play,"Geoff, Ryan, Michael, Gavin, Matt, and Jeremy group up to play the new Jackbox game, Quiplash. Over 3000 of you, AH&#39;s biggest fans joined in to vote on which...",Thursday,7,96993.0,2413.0,57.0,16495,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False
Let's Play - Rugby 15,https://www.youtube.com/watch?v=hxKI_mHgTYc,19.0,2015-07-08,472511,8411,396,Let's Play,"Geoff and Jack are a bit salty from their NHL losses, will that anger fuel them to victory against Ryan and Michael in Rugby or will Team OG destroy themselv...",Wednesday,8,59064.0,1051.0,50.0,8015,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Let's Play - The Ship: Part 4,https://www.youtube.com/watch?v=Ft11r2SEP-k,27.0,2015-07-07,477159,7828,157,Let's Play,"We set sail one last time with Geoff, Ryan, Jeremy, Michael, Brandon, and Max. Scores need to be settled and rivalries need to be ended. As tensions rise, tr...",Tuesday,9,53018.0,870.0,17.0,7671,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
